1990 03	21	8.3336	8.4564	8.5122	8.5217	8.5116	8.4778	8.437	8.3814	8.3626
1990 03	22	8.2994	8.4191	8.4673	8.4811	8.4801	8.4657	8.4448	8.4146	8.4043
1990 03	23	8.2821	8.4149	8.4589	8.4663	8.4621	8.4485	8.4342	8.4164	8.4104
1990 03	26	8.281	8.3971	8.4431	8.4523	8.4488	8.4355	8.4209	8.4025	8.3964
1990 03	27	8.2871	8.4218	8.4639	8.4672	8.4592	8.4409	8.423	8.4011	8.3938
1990 03	28	8.3103	8.4323	8.4679	8.4702	8.4632	8.4473	8.432	8.4133	8.407
1990 03	29	8.3159	8.4504	8.4968	8.5081	8.5082	8.5019	8.4945	8.4852	8.4821
1990 03	30	8.3192	8.4778	8.542	8.5639	8.5698	8.5687	8.564	8.5573	8.5551
1990 04	02	8.3007	8.4731	8.5385	8.5588	8.5652	8.5682	8.5693	8.5703	8.5706
1990 04	03	8.2792	8.4666	8.528	8.5462	8.5524	8.5566	8.5591	8.5619	8.5628
1990 04	04	8.2486	8.4029	8.4629	8.4817	8.4848	8.4791	8.4698	8.4571	8.4529
1990 04	05	8.2407	8.4046	8.4687	8.4892	8.493	8.4878	8.4788	8.4665	8.4624
1990 04	06	8.222	8.3756	8.4393	8.4622	8.4689	8.468	8.4626	8.4545	8.4518
1990 04	09	8.2126	8.3866	8.4685	8.5011	8.5115	8.5104	8.5005	8.4845	8.479
1990 04	10	8.2264	8.3981	8.4739	8.5023	8.5112	8.5111	8.505	8.4956	8.4923
1990 04	11	8.2169	8.3962	8.4814	8.5167	8.5295	8.5327	8.5274	8.5177	8.5144
1990 04	12	8.2108	8.4022	8.4877	8.521	8.5328	8.5363	8.5332	8.5276	8.5257
1990 04	16	8.2165	8.4152	8.5094	8.5499	8.567	8.5774	8.5798	8.5806	8.5808
1990 04	17	8.286	8.5142	8.5945	8.6264	8.6425	8.6594	8.6717	8.6861	8.6909
1990 04	18	8.3509	8.5924	8.6745	8.7106	8.7311	8.7542	8.7715	8.7916	8.7983
1990 04	19	8.3559	8.6066	8.69	8.7256	8.7454	8.7677	8.7842	8.8036	8.81
1990 04	20	8.3475	8.6059	8.7053	8.7532	8.7815	8.8138	8.838	8.8662	8.8756
1990 04	23	8.3936	8.6455	8.7413	8.7875	8.8148	8.8459	8.8691	8.8963	8.9053
1990 04	24	8.4423	8.6991	8.7859	8.8248	8.8472	8.8725	8.8914	8.9135	8.9209
1990 04	25	8.4661	8.7307	8.8137	8.8473	8.8655	8.8857	8.9007	8.9182	8.924
1990 04	26	8.5298	8.807	8.9001	8.9292	8.9384	8.9425	8.9435	8.9443	8.9445
1990 04	27	8.5992	8.8158	8.8816	8.9092	8.9245	8.9416	8.9543	8.9692	8.9742
1990 04	30	8.5684	8.7799	8.8629	8.8956	8.9093	8.919	8.9235	8.9282	8.9297
1990 05	01	8.561	8.8054	8.9026	8.9372	8.9483	8.9508	8.9476	8.9424	8.9407
1990 05	02	8.6272	8.8398	8.9253	8.9555	8.9645	8.9645	8.959	8.9509	8.9482
1990 05	03	8.6262	8.7954	8.8594	8.8902	8.9056	8.9153	8.9111	8.8868	8.8754
1990 05	04	8.4239	8.5484	8.605	8.6426	8.6713	8.7135	8.7535	8.7714	8.689
1990 05	07	8.4038	8.565	8.6354	8.678	8.7081	8.7491	8.7839	8.7838	8.6902
1990 05	08	8.3227	8.4994	8.5795	8.6301	8.6669	8.718	8.7612	8.7526	8.6268
1990 05	09	8.3721	8.5563	8.6505	8.7085	8.7495	8.8042	8.8473	8.8227	8.6773
1990 05	10	8.3041	8.4986	8.5875	8.6436	8.6842	8.7397	8.7845	8.761	8.6116
1990 05	11	8.1659	8.3621	8.4439	8.4921	8.5253	8.5689	8.6034	8.5899	8.48
1990 05	14	8.1506	8.3232	8.4	8.4469	8.4802	8.5244	8.5586	8.5309	8.3984
1990 05	15	8.1857	8.3575	8.4369	8.4855	8.5199	8.5656	8.6003	8.5679	8.4278
1990 05	16	8.1668	8.3505	8.4479	8.5063	8.5424	8.5783	8.5919	8.5797	8.5703
1990 05	17	8.156	8.3614	8.467	8.5279	8.564	8.5965	8.6035	8.5783	8.5639
1990 05	18	8.2445	8.4339	8.5321	8.588	8.6208	8.65	8.6549	8.6251	8.608
1990 05	21	8.2318	8.4257	8.5197	8.5762	8.6123	8.6495	8.6616	8.6194	8.5845
1990 05	22	8.1621	8.3553	8.4517	8.5071	8.5398	8.5687	8.5734	8.5448	8.5288
1990 05	23	8.1312	8.3204	8.4068	8.4566	8.4886	8.5235	8.5406	8.521	8.4972
1990 05	24	8.1349	8.3191	8.4062	8.4572	8.4904	8.5276	8.5472	8.5294	8.5041
1990 05	25	8.1413	8.3457	8.4384	8.4909	8.5252	8.5667	8.5965	8.6108	8.6012
1990 05	29	8.1664	8.3259	8.4188	8.4751	8.5114	8.5518	8.5752	8.5823	8.5799
1990 05	30	8.1219	8.3045	8.4017	8.4572	8.4918	8.5286	8.546	8.5304	8.5124
1990 05	31	8.1363	8.3009	8.4012	8.4568	8.4881	8.5157	8.5239	8.5145	8.5088
1990 06	01	8.0029	8.1406	8.2266	8.2792	8.3118	8.3456	8.3632	8.3717	8.3731
1990 06	04	7.9647	8.1339	8.2224	8.2742	8.3091	8.3538	8.388	8.377	8.2822
1990 06	05	8.0011	8.162	8.2508	8.3044	8.3412	8.3888	8.4247	8.4038	8.291
1990 06	06	8.0088	8.1762	8.2642	8.3148	8.3481	8.3889	8.4173	8.3905	8.2859
1990 06	07	7.9978	8.1644	8.2502	8.3	8.3332	8.3748	8.4042	8.3772	8.2693
1990 06	08	7.9963	8.1645	8.2517	8.3036	8.3389	8.3838	8.416	8.3853	8.2662
1990 06	11	8.0313	8.1912	8.2733	8.3215	8.3541	8.3953	8.4252	8.3961	8.2764
1990 06	12	8.0359	8.1948	8.2777	8.3254	8.3571	8.3965	8.4244	8.3981	8.2876
1990 06	13	7.9466	8.1106	8.1875	8.236	8.2713	8.3199	8.3601	8.3434	8.2095
1990 06	14	7.9361	8.0776	8.1551	8.2055	8.2427	8.2944	8.3376	8.3201	8.178
1990 06	15	8.0101	8.1555	8.238	8.2883	8.3233	8.369	8.4044	8.3812	8.2517
1990 06	18	8.0559	8.2104	8.2903	8.3377	8.3701	8.4118	8.443	8.4162	8.2905
1990 06	19	8.0603	8.2264	8.3072	8.3544	8.3864	8.4272	8.4571	8.4283	8.3028
1990 06	20	8.0877	8.2494	8.3345	8.3869	8.4237	8.4721	8.5087	8.4724	8.3194
1990 06	21	8.0779	8.2398	8.3179	8.3655	8.399	8.4436	8.4789	8.457	8.3277
1990 06	22	8.0701	8.2202	8.2964	8.3455	8.3816	8.4317	8.4727	8.4495	8.3029
1990 06	25	8.1074	8.2667	8.3504	8.4036	8.442	8.4946	8.5372	8.5147	8.3678
1990 06	26	8.1057	8.2679	8.3479	8.3969	8.4312	8.4767	8.5115	8.4797	8.337
1990 06	27	8.073	8.2137	8.2912	8.3454	8.3871	8.4466	8.4953	8.4561	8.2701
1990 06	28	8.0182	8.1554	8.2328	8.2877	8.3304	8.3926	8.4455	8.4192	8.2426
1990 06	29	7.9659	8.0944	8.1815	8.2449	8.2917	8.3504	8.3853	8.3566	8.3093
1990 07	02	7.9901	8.1055	8.1832	8.2384	8.2811	8.3431	8.3971	8.3794	8.205
1990 07	03	7.9487	8.0659	8.1416	8.2014	8.251	8.327	8.3968	8.385	8.1822
1990 07	05	7.9478	8.0774	8.161	8.2191	8.2637	8.329	8.3884	8.395	8.2457
1990 07	06	8.0442	8.1894	8.2694	8.3225	8.3625	8.4202	8.4722	8.4775	8.3436
1990 07	09	8.1047	8.2329	8.309	8.3645	8.4085	8.4739	8.532	8.5154	8.331
1990 07	10	8.1037	8.2485	8.3283	8.3816	8.4217	8.4795	8.5304	8.5257	8.378
1990 07	11	8.094	8.2326	8.312	8.367	8.4094	8.4716	8.5281	8.5289	8.3759
1990 07	12	7.9642	8.0767	8.1744	8.2487	8.3072	8.3941	8.4749	8.4902	8.2911
1990 07	13	7.8949	8.0228	8.1211	8.1961	8.2567	8.3492	8.4376	8.4596	8.2499
1990 07	16	7.8904	8.0255	8.1228	8.1949	8.2524	8.3397	8.4232	8.4488	8.2567
1990 07	17	7.8813	8.0132	8.1124	8.1866	8.2459	8.3358	8.4219	8.449	8.2533
