06 2000		-0.01850716
07 2000		-0.364444795
08 2000		-0.359878779
09 2000		-0.099870465
10 2000		-0.334434088
11 2000		-0.528731991
12 2000		-0.882149759
01 2001		-1.295639781
02 2001		-1.44764576
03 2001		-1.345681388
04 2001		-1.497793565
05 2001		-1.456823057
06 2001		-1.592387207
07 2001		-1.625266723
08 2001		-1.704535653
09 2001		-1.923948304
10 2001		-1.967072526
11 2001		-1.541185076
12 2001		-1.018610818
01 2002		-0.61777601
02 2002		-0.421207876
03 2002		-0.322875352
04 2002		-0.281310672
05 2002		-0.226655186
06 2002		-0.300667759
07 2002		-0.580426344
08 2002		-0.53413175
09 2002		-0.614595837
10 2002		-0.664614018
11 2002		-0.556130599
12 2002		-0.702333287
01 2003		-0.397419373
02 2003		-0.566942132
03 2003		-0.721889814
04 2003		-0.741564982
05 2003		-0.380700219
06 2003		-0.157288789
07 2003		0.018939028
08 2003		0.070941664
09 2003		0.382755001
10 2003		0.484534177
11 2003		0.535874257
12 2003		0.375690759
01 2004		0.366120294
02 2004		0.47858608
03 2004		0.444704365
04 2004		0.493018819
05 2004		0.442676615
06 2004		0.338411567
07 2004		0.487076981
08 2004		0.375136697
09 2004		0.361160532
10 2004		0.520157393
11 2004		0.503198837
12 2004		0.689781017
01 2005		0.640836229
02 2005		0.533884687
03 2005		0.31098528
04 2005		0.477645356
05 2005		0.339502398
06 2005		0.355104467
07 2005		0.25575172
08 2005		0.391105723
09 2005		0.160869626
10 2005		0.617555741
11 2005		0.780411403
12 2005		0.752523164
01 2006		0.700596583
02 2006		0.477132027
03 2006		0.414415646
04 2006		0.100980639
05 2006		-0.036118149
06 2006		-0.152543255
07 2006		-0.254328024
08 2006		-0.072186391
09 2006		-0.080707114
10 2006		-0.082911644
11 2006		-0.06745193
12 2006		0.134412002
01 2007		-0.146312978
02 2007		0.057493603
03 2007		0.11574349
04 2007		-0.065053693
05 2007		-0.076930586
06 2007		-0.203705056
07 2007		-0.338269784
08 2007		-0.284994403
09 2007		-0.313458378
10 2007		-0.457696736
11 2007		-0.499853269
12 2007		-0.813900779
01 2008		-1.054116634
02 2008		-1.355026616
03 2008		-1.51849687
04 2008		-1.585111253
05 2008		-1.767730705
06 2008		-1.932816324
07 2008		-2.30209109
08 2008		-2.861940597
09 2008		-3.495876559
10 2008		-3.646935476
11 2008		-4.39387208
12 2008		-4.798371501
01 2009		-4.675109343
02 2009		-3.956806317
03 2009		-3.625206713
04 2009		-2.946198607
05 2009		-2.398395713
06 2009		-1.749467084
07 2009		-0.995638479
08 2009		-0.819341753
09 2009		-0.5613446
10 2009		-0.547140414
11 2009		-0.444353975
12 2009		-0.46817725
01 2010		-0.235169696
02 2010		-0.302539757
03 2010		0.077694364
04 2010		0.332602802
05 2010		0.422744816
06 2010		0.086988854
07 2010		-0.038274694
08 2010		-0.145099689
09 2010		-0.162166001
10 2010		-0.107644526
11 2010		-0.094155621
12 2010		0.137121041
01 2011		0.059757166
02 2011		0.050821296
03 2011		0.251123768
04 2011		-0.003038176
05 2011		-0.067532633
06 2011		-0.157115819
07 2011		-0.132635448
08 2011		-0.180257746
09 2011		-0.130393972
10 2011		0.052485715
11 2011		0.061576167
12 2011		0.294510667
01 2012		0.358379787
02 2012		0.255971941
03 2012		0.037799529
04 2012		-0.111117569
05 2012		-0.263949457
06 2012		-0.456501559
07 2012		-0.483710718
08 2012		-0.475203478
09 2012		-0.282678341
10 2012		-0.225923909
11 2012		-0.052530253
12 2012		-0.007252399
01 2013		-0.033029567
02 2013		0.190793624
03 2013		-0.078846442
04 2013		-0.228535207
05 2013		-0.085609017
06 2013		-0.1134811
07 2013		-0.072384906
08 2013		0.283552055
09 2013		0.266065518
10 2013		0.112882795
11 2013		0.148859161
12 2013		-0.1330672
01 2014		-0.186425391
02 2014		0.089167346
03 2014		0.342412874
04 2014		0.393309024
05 2014		0.437212398
06 2014		0.516736535
07 2014		0.468700052
08 2014		0.290228254
09 2014		0.307759151
10 2014		0.264248038
11 2014		0.225641703
12 2014		0.123259914
01 2015		-0.108338703
02 2015		-0.196384951
03 2015		-0.108693973
04 2015		-0.18566629
05 2015		-0.19096506
06 2015		-0.073739834
07 2015		-0.004795692
08 2015		-0.258027934
09 2015		-0.4026893
10 2015		-0.425565001
11 2015		-0.544075926
12 2015		-0.423530529
01 2016		-0.343102229
02 2016		-0.52486515
03 2016		-0.515574702
04 2016		-0.396577798
05 2016		-0.34284668
06 2016		-0.151092494
07 2016		-0.149858403
08 2016		-0.266691319
09 2016		-0.207960924
10 2016		-0.128469312
11 2016		0.0320072
12 2016		0.172842914
01 2017		0.180156471
02 2017		0.159170428
03 2017		0.324053807
04 2017		0.361754018
05 2017		0.205886513
06 2017		0.1939002
07 2017		0.067725176
08 2017		0.123563034
09 2017		0.335958866
10 2017		0.555049096
11 2017		0.519498944
12 2017		0.44018343
01 2018		0.383731346
02 2018		0.582540231
03 2018		0.479757518
04 2018		0.430167227
05 2018		0.313487211
06 2018		0.387453964
07 2018		0.35714281
08 2018		0.399504159
09 2018		0.283383168
10 2018		0.184740551
11 2018		0.1070285
12 2018		0.012010526
01 2019		-0.124944233
02 2019		-0.257711767
03 2019		-0.258049233
04 2019		-0.359799139
05 2019		-0.25608459
06 2019		-0.273842335
