date,country_code,country_name,SLT99_FTOT_TREAS,SLT399_FTOT_TREAS_VALCHG,SLT399_FTOT_TREAS_ESTTRANS,SLT99_FTOT_AGCY,SLT399_FTOT_AGCY_VALCHG,SLT399_FTOT_AGCY_ESTTRANS,SLT99_FTOT_CORP,SLT399_FTOT_CORP_VALCHG,SLT399_FTOT_CORP_ESTTRANS,SLT99_FTOT_STK,SLT399_FTOT_STK_VALCHG,SLT399_FTOT_STK_ESTTRANS,SLT99_US_FOR_BOND,SLT399_US_FOR_BOND_VALCHG,SLT399_US_FOR_BOND_ESTTRANS,SLT99_US_FOR_STK,SLT399_US_FOR_STK_VALCHG,SLT399_US_FOR_STK_ESTTRANS
2012-01,31089,El Salvador,332,0,14,281,1,29,119,2,2,119,6,-12,805,12,7,0,0,0
2012-01,31607,Jamaica,11,0,0,340,1,-39,67,1,4,93,4,-4,174,4,-29,0,0,-7
2012-01,31704,Mexico,29297,40,813,40052,101,1364,9484,159,99,21591,882,1492,55056,974,3573,62495,4368,-987
2012-01,31887,Panama,677,1,-30,1573,4,-60,3781,66,-145,7647,334,36,3992,-20,-178,15472,-841,380
2012-01,32204,Peru,8919,12,339,1963,6,-408,2230,37,67,4151,174,187,5351,-4,-277,3110,284,69
2012-01,32409,Trinidad and Tobago,3745,5,143,943,3,-26,1153,20,-20,1334,58,8,1187,22,-64,3,1,-3
2012-01,32603,Uruguay,6727,9,426,276,1,-36,859,15,-18,1698,78,-79,2086,-5,-14,1,0,0
2012-01,32719,Venezuela,4185,6,73,353,1,-19,1683,29,-14,2200,97,-20,9267,542,190,178,20,-4
2012-01,34401,Total Caribbean,132459,184,2115,89640,243,-3905,502424,8807,-18577,692912,30882,-10689,310919,3501,-8447,769024,57601,-29234
2012-01,35254,Aruba,111,0,-6,357,1,-10,35,1,-2,447,19,4,549,10,-8,0,0,0
2012-01,35319,Bahamas,3696,5,122,1325,3,94,4180,69,96,18464,929,-2712,1215,17,14,5205,267,-90
2012-01,35602,Bermuda,55533,74,3246,43790,114,-109,100545,1719,-1126,63834,2958,-3323,26068,461,-1180,141724,9181,-4821
2012-01,35718,Belize,7,0,-2,6,0,-1,63,1,-4,239,11,-4,230,3,8,2,0,-2
2012-01,35807,British Virgin Islands,13051,21,-1518,3555,4,2043,21472,367,-241,81063,3508,1111,4978,98,-519,53333,3407,-1102
2012-01,36137,Cayman Islands,52132,73,475,37866,113,-5739,366608,6495,-17606,505520,22475,-6736,270718,2547,-6326,500155,32261,-15694
2012-01,36188,Curacao,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2012-01,37206,Netherlands Antilles,1160,2,31,204,1,-12,2301,33,361,2567,112,13,3451,61,-28,68129,6357,-1527
2012-01,37508,Saint Lucia,5,0,0,2,0,0,32,0,3,40,2,4,39,1,-1,2,0,0
2012-01,37818,Turks AND Caicos Islands,36,0,0,45,0,-2,67,1,-11,388,16,28,201,4,-13,0,0,0
2012-01,39942,Total Latin America,323459,450,4246,49244,125,1278,25165,425,12,67429,2865,2125,158398,4606,-428,277810,28325,486
2012-01,40703,Bahrain,572,1,-6,2666,7,21,216,4,-8,642,28,9,240,-2,11,16,4,-14
2012-01,41319,Sri Lanka,683,1,-13,40,0,-25,0,0,0,13,1,0,1293,8,-39,500,54,-66
2012-01,41408,China,1163134,1622,12527,226563,616,-10622,18472,305,419,214731,8685,16773,2160,9,-35,93287,9479,-3735
2012-01,42005,Hong Kong,91760,114,11210,26362,67,488,12760,218,-117,42917,1892,-198,3348,51,-119,112565,9744,-191
2012-01,42102,India,32820,47,-202,4,0,0,36,1,-3,1179,41,248,3693,37,-87,66711,11464,251
2012-01,42218,Indonesia,23612,34,-820,2195,5,241,243,4,5,271,11,19,12276,139,343,28072,1027,564
2012-01,42404,Iraq,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01,42501,Israel,8347,13,-1035,944,2,2,3060,51,63,21074,886,890,18078,-144,33,40270,3335,277
2012-01,42609,Japan,1016630,1386,33870,260049,670,2016,156649,2617,1847,308405,13540,-191,58758,604,1240,408691,17635,691
2012-01,43001,Korea,42780,57,2218,64271,164,1084,10204,171,86,21229,912,447,29153,613,996,128186,11807,-133
2012-01,43109,Kuwait,18351,23,2157,3336,9,-204,8694,149,-95,82259,3733,-2815,NA,NA,NA,NA,NA,NA
2012-01,43419,Lebanon,1,0,0,0,0,0,76,1,-6,607,26,11,143,0,-133,138,22,-29
2012-01,43605,Malaysia,20425,29,32,15718,42,-311,2958,51,-60,4995,196,528,11836,497,-587,20982,878,7
2012-01,44105,Oman,9703,14,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,1,274,47,-81
2012-01,44709,Pakistan,1277,2,-38,8,0,0,87,1,3,63,3,-3,227,-9,10,702,75,-56
2012-01,44806,Philippines,34894,45,2943,28,0,-1,368,6,1,1132,45,111,6112,106,-2036,10193,956,-15
2012-01,45101,Qatar,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6412,-56,-578,706,109,-119
2012-01,45608,Saudi Arabia,73409,102,1300,4847,13,-77,7298,125,-91,62104,2718,161,NA,NA,NA,NA,NA,NA
2012-01,46019,Singapore,70230,97,1275,3136,8,240,39133,664,-151,99053,4440,-2144,9671,283,-109,54321,6812,154
2012-01,46205,Syria,0,0,0,0,0,0,0,0,0,5,0,1,NA,NA,NA,NA,NA,NA
2012-01,46302,Taiwan,175705,247,686,137664,363,-2107,25866,431,364,16881,726,334,342,2,-13,79458,6500,690
2012-01,46418,Thailand,19825,27,428,74,0,5,453,10,-164,2823,100,539,1863,32,43,22786,1718,237
2012-01,46604,United Arab Emirates,35258,49,602,2399,6,-20,3521,60,-1,68760,3041,-544,3566,-30,-157,1164,156,-21
2012-01,46906,Vietnam,3877,6,-287,0,0,0,0,0,0,19,1,1,690,4,-14,556,53,-4
2012-01,49999,Total Asia,2855475,3932,66777,750698,1974,-9285,290899,4883,2015,956894,41356,14304,170571,2152,-1239,1070488,82124,-2119
2012-01,50105,Algeria,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01,50504,Botswana,1508,2,-18,41,0,3,37,1,0,914,40,6,0,0,0,47,7,-25
2012-01,52418,Gabon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,3,5,5,0,2
2012-01,52604,Ghana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380,7,-35,37,4,-5
2012-01,53201,Liberia,242,0,-35,344,1,18,668,11,-2,629,31,-68,1805,30,-75,2174,178,169
2012-01,53805,Mauritius,82,0,3,6,0,1,17,0,2,323,18,-77,270,1,208,4542,499,-290
2012-01,54003,Morocco,1064,1,208,0,0,0,2,0,1,33,1,1,126,1,90,364,52,-31
2012-01,54305,Nigeria,2883,4,-91,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,3,-64,767,89,-117
2012-01,55719,South Africa,12677,17,932,121,0,-20,781,13,26,3108,139,-67,12750,327,168,60387,4387,-904
2012-01,57002,Egypt,2157,3,-22,91,0,-3,239,4,1,205,9,6,911,69,-788,3269,401,222
2012-01,59994,Total Africa,26801,36,1082,1133,3,9,2483,41,32,6958,303,49,18047,471,-477,73185,6401,-1804
2012-01,60089,Australia ,17636,24,755,4852,16,-1315,25873,432,335,112811,4879,1747,138441,3128,-9386,140621,11264,1666
2012-01,61204,Marshall Islands,10,0,4,3,0,1,54,1,3,207,9,8,2205,24,252,6995,455,-265
2012-01,61689,New Zealand,765,2,-466,294,1,10,1508,25,23,7978,341,211,10842,386,-905,3362,219,-48
2012-01,69906,Total Other Countries,18491,26,301,5223,17,-1305,27541,459,362,121371,5245,1960,151753,3128,-9372,152462,11264,2064
2012-01,69995,Total Foreign Countries,4375908,6056,80358,1027577,2706,-14212,2632865,44797,-17216,4044926,176121,28344,2042606,36643,-59572,4804955,296276,-14286
2012-01,79995,Total IROs,74017,95,6735,7115,19,-131,10153,199,-1617,4062,177,25,8792,576,-3804,3142,10,2988
2012-01,99990,Foreign official: all countries,3337817,4608,69851,600628,1603,-16281,103114,1747,-220,614953,26730,5732,NA,NA,NA,NA,NA,NA
2012-01,99996,All Countries and IROs,4449925,6151,87093,1034692,2725,-14343,2643018,44996,-18833,4048988,176298,28369,2084976,38350,-64507,4808097,295276,-10288
2012-02,10189,Austria,2527,-17,52,385,-1,-4,2104,19,-28,6246,251,-54,5544,67,-243,7136,568,-39
2012-02,10251,Belgium,114093,-832,-7823,6160,-11,-54,311333,2783,-3321,23071,903,391,6093,111,422,30436,2562,-12
2012-02,10405,Cyprus,84,-1,3,4,0,-1,561,0,511,432,17,14,194,2,5,951,52,49
2012-02,10502,Denmark,11309,-78,-159,982,-2,-76,22095,207,-1269,36848,1443,612,7791,70,-78,39315,4913,204
2012-02,10707,Finland,2758,-18,50,228,0,-22,3399,31,-121,11259,469,-508,4582,52,42,20680,1551,135
2012-02,10804,France,31109,-228,-2323,1621,-3,-127,56278,499,-53,125407,5087,-2333,98374,1270,1713,236347,15605,116
2012-02,11002,Germany,55506,-371,1113,6672,-7,2671,76263,686,-1218,82750,3378,-2084,88407,1296,-699,209037,16187,151
2012-02,11207,Greece,1049,-7,-26,321,-1,-34,3229,29,-85,2860,113,22,902,-35,97,3413,-279,201
2012-02,11304,Iceland,473,-3,64,66,0,11,0,0,0,357,14,17,1408,27,210,669,14,494
2012-02,11401,Ireland,60131,-366,6585,33479,-56,2157,124134,1083,1850,104017,4345,-5095,34785,308,109,122269,6796,2172
2012-02,11509,Italy,22848,-150,897,2444,-5,-81,3508,30,127,15853,626,143,24351,1067,1488,48820,2281,1118
2012-02,11703,Luxembourg,104095,-711,-39,27092,-47,984,367238,3207,5181,299513,11932,-624,69145,283,3411,32843,1853,327
2012-02,11819,Malta,332,-2,-30,53,0,-2,716,5,122,376,12,79,81,1,-18,45,2,4
2012-02,12009,Monaco,70,0,-1,243,0,-4,46,0,1,1519,56,109,1,0,1,22,8,-79
2012-02,12106,Netherlands,22564,-158,-603,12664,-25,-978,62454,489,7204,158812,6247,-807,110870,791,185,146074,5837,1985
2012-02,12203,Norway,59185,-387,2528,1578,-3,-65,17937,163,-471,124998,4985,-187,28758,498,-276,25495,3435,-130
2012-02,12319,Portugal,2446,-15,181,46,0,-10,417,4,7,2526,109,-201,915,80,112,3757,202,137
2012-02,12505,Spain,20159,-151,-1958,975,-2,-229,3577,32,-44,9779,387,71,22031,261,-141,55997,943,788
2012-02,12602,Sweden,27979,-194,-419,1088,-2,-42,11947,107,-174,70325,2734,1681,36523,358,2281,62397,6163,-1213
2012-02,12688,Switzerland,126623,-866,-196,15696,-29,-407,111891,968,2568,218397,8760,-1560,14100,164,-861,309143,13731,1892
2012-02,12807,Turkey,13143,-93,-531,2,0,0,121,1,4,249,9,34,11984,320,-58,21363,1425,-228
2012-02,13005,United Kingdom,100019,-656,3928,13961,-26,-440,412145,3647,413,498156,19202,15989,281708,1335,545,692951,30565,-534
2012-02,13006,Guernsey,1464,-12,-234,2184,-6,-1006,5212,47,-88,20534,840,-558,968,5,-1,19189,865,-431
2012-02,13007,Jersey,805,-5,7,589,-1,80,13192,118,-110,11915,462,326,9793,46,22,37677,1626,776
2012-02,13008,Isle of Man,821,-6,-20,3,0,1,497,4,-7,1171,80,-844,1030,5,-67,1830,84,-83
2012-02,13218,Serbia,1643,-11,-11,0,0,0,0,0,0,36,1,2,501,12,-1,22,2,-1
